"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 15 22:26:49 GMT 2024","Tue Oct 15 22:26:49 GMT 2024","662","chromium","login.spec.ts","Test application login scenarios","","","Login with a valid user and check if the products page is shown correctly.",""
"passed","Tue Oct 15 22:26:51 GMT 2024","Tue Oct 15 22:26:51 GMT 2024","308","chromium","login.spec.ts","Test application login scenarios","","","Test invalid login scenarios with username standard_user and password empty",""
"passed","Tue Oct 15 22:26:55 GMT 2024","Tue Oct 15 22:26:56 GMT 2024","564","firefox","login.spec.ts","Test application login scenarios","","","Test invalid login scenarios with username empty and password empty",""
"passed","Tue Oct 15 22:26:54 GMT 2024","Tue Oct 15 22:26:54 GMT 2024","566","firefox","login.spec.ts","Test application login scenarios","","","Test invalid login scenarios with username locked_out_user and password secret_sauce",""
"passed","Tue Oct 15 22:26:55 GMT 2024","Tue Oct 15 22:26:55 GMT 2024","555","firefox","login.spec.ts","Test application login scenarios","","","Test invalid login scenarios with username non_existing_username and password secret_sauce",""
"passed","Tue Oct 15 22:26:56 GMT 2024","Tue Oct 15 22:26:57 GMT 2024","566","firefox","login.spec.ts","Test application login scenarios","","","Test invalid login scenarios with username standard_user and password empty",""
"passed","Tue Oct 15 22:26:50 GMT 2024","Tue Oct 15 22:26:50 GMT 2024","500","chromium","login.spec.ts","Test application login scenarios","","","Test invalid login scenarios with username standard_user and password wrong_password",""
"passed","Tue Oct 15 22:26:52 GMT 2024","Tue Oct 15 22:26:53 GMT 2024","1432","firefox","login.spec.ts","Test application login scenarios","","","Login with a valid user and check if the products page is shown correctly.",""
"passed","Tue Oct 15 22:26:50 GMT 2024","Tue Oct 15 22:26:51 GMT 2024","333","chromium","login.spec.ts","Test application login scenarios","","","Test invalid login scenarios with username non_existing_username and password secret_sauce",""
"passed","Tue Oct 15 22:26:50 GMT 2024","Tue Oct 15 22:26:50 GMT 2024","340","chromium","login.spec.ts","Test application login scenarios","","","Test invalid login scenarios with username locked_out_user and password secret_sauce",""
"passed","Tue Oct 15 22:26:51 GMT 2024","Tue Oct 15 22:26:51 GMT 2024","317","chromium","login.spec.ts","Test application login scenarios","","","Test invalid login scenarios with username empty and password empty",""
"passed","Tue Oct 15 22:26:54 GMT 2024","Tue Oct 15 22:26:55 GMT 2024","576","firefox","login.spec.ts","Test application login scenarios","","","Test invalid login scenarios with username standard_user and password wrong_password",""
